verb	freq	adv_continuous	adv_evaluation	adv_manner	adv_temporal	for_pp	fut	in_pp	neg	noSubj	past	perfect	present	progressive	prt
aaccelerate	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aaccord	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aaccus	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
aachen	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aacknowledge	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
aad	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
aadd	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
aadne	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
aadpbhristian	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
aadvance	1	1	1	1	1	1	1	1	1	5	5	1	1	5	1
aadvocate	1	1	1	1	1	1	1	1	1	1	5	1	1	5	1
aagainst	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
aaginst	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
aah	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
aaid	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
aaim	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
aainst	1	1	1	1	1	2	1	1	1	3	2	1	1	1	1
aaland	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
aalborg	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aamir	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
aamodt	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1
aand	1	1	1	1	1	1	1	1	1	2	4	1	1	1	1
aanythe	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aao	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aapc	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
aapear	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
aappear	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
aapt	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
aaqib	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aar	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
aardvark	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
aare	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
aarmful	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aaron	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1
aaround	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aarst	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
aart	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
aartsen	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aasgard	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aask	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aat	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
aatvidaberg	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aaysian	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
aazion	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
ab	1	1	1	1	1	1	2	1	2	2	1	1	4	2	1
ab1	1	1	1	1	1	1	1	1	1	5	1	1	5	5	1
ab3	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
aba	1	1	1	1	1	1	1	1	1	4	1	1	3	1	1
ababa	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abacha	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abacus	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abad	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1
abadnon	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abadon	1	1	1	1	5	1	1	1	5	1	1	1	1	1	1
abakore	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abandan	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abandeon	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abandon	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
abandond	1	1	1	1	1	1	1	1	1	2	3	4	2	1	1
abandonend	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
abandonm	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abandonment	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abandoxel	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
abang	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
abanodn	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abanodon	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abanon	1	1	1	1	1	1	1	1	1	5	3	3	1	1	1
abaord	1	1	1	1	1	2	1	1	1	3	2	1	1	1	1
abasha	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
abassador	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abat	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1
abate	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1
abatement	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
abattoir	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
abayomi	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abb	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
abba	1	1	1	1	1	1	1	1	1	2	1	1	4	1	1
abbass	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abbot	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
abbottabad	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abbreviate	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abbreviation	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
abby	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abc_pbu	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abce	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abd	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
abdalah	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abdallah	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abdandon	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abdel-aziz	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abdel-salam	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abdelaziz	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abdelilah	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abdellah	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
abderezak	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abderrahmane	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abdi	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abdic	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
abdicate	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
abdlaziz	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abdoes-salaam	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abdolvahe	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abdomen	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abdominal	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abdoujaparov	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abdoulwahab	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abdrang	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abduce	1	1	1	1	1	1	1	1	1	1	5	5	1	1	1
abduct	1	1	1	1	1	1	1	1	1	4	2	3	1	1	1
abduction	1	1	1	1	1	1	1	1	1	3	1	1	4	1	1
abductor	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abdul	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1
abdul-aziz	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
abdul-kerim	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abdul-malik	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abdul-meguid	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abdul-rauf	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abdulatif	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
abdulhaqq	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abdulla	1	1	1	1	5	1	1	1	1	5	1	1	1	1	1
abdullah	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
abdulwahe	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abdur	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abdurazak	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abdureshid	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abdurrahman	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abdus	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abdussamad	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abe	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
abeang	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
abeba	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abebe	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abedelkhader	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abednego	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abeg	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abeid	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abel	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
aberdeen	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1
aberrant	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aberration	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
aberystwyth	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abet	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abetter	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
abettor	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abfove	1	1	5	1	1	1	1	1	1	1	1	1	5	1	1
abhor	1	1	1	1	1	1	1	1	1	2	2	1	3	1	1
abhore	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abhorrence	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abhorrent	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
abi	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abid	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
abidance	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1
abidcate	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abide	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
abidicate	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1
abidjan	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
abie	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abigul	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abilitender	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
ability	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
abilize	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abinet	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abingdon	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abiola	1	1	1	1	1	1	1	1	1	2	1	1	4	1	1
abiout	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abitbol\/bernadis	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abitrary	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abitrate	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1
abject	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
abjure	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
abkhaz	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abkhazian	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
ablate	1	1	1	1	1	1	3	1	3	3	1	1	1	1	1
ablaze	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1
able	1	1	1	1	1	1	1	1	1	4	2	2	2	1	1
ablehamid	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
ablish	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
ablt	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
ablution	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
ablze	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abm	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1
abm\/tmd	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abn	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abn-amro	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abn\/amro	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abnd	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1
abnduct	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abneh	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abnormal	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
abo	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aboad	1	1	1	1	1	1	1	1	1	3	3	2	1	1	1
aboard	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
aboardbie	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
aboe	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abolise	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abolish	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
abolishign	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
abolitionist	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abollition	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abolo	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abominable	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abominate	1	1	1	1	1	1	1	1	1	3	3	2	2	1	1
abondan	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1
abondon	1	1	1	1	1	1	1	1	1	4	2	2	1	1	1
abong	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aboot	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aboout	1	1	1	1	1	1	1	1	1	5	3	3	1	1	1
abor	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
aborad	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
aborb	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
abord	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
aboriginal	1	1	1	1	1	1	1	1	1	2	1	1	4	1	1
aborigine	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
abort	1	1	1	1	1	1	1	1	1	4	2	2	1	1	1
abortion	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abortionist	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
abortive	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abosorb	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abot	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
abou	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
aboud	1	1	1	1	1	1	1	1	1	5	2	1	1	1	1
abound	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
aboundant	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1
abour	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abourd	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abourse	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abourt	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
about	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
about-face	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
about-faced	1	1	1	1	5	1	1	1	1	1	5	1	1	1	1
about-faces	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
above	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
above-average	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
above-board	1	1	1	1	1	5	1	1	1	5	1	5	5	1	1
aboveboard	1	1	1	1	1	1	1	1	1	5	3	3	1	1	1
aboveground	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abpout	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abput	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abracadabra	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abrade	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abraham	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abrahan	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
abram	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abraod	1	1	1	1	1	1	1	1	1	5	3	1	1	1	1
abrasion	1	1	1	1	1	1	1	1	1	3	1	1	4	1	1
abrati	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abrazo	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abreast	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
abreu	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abridge	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abroad	1	1	1	1	1	1	1	1	1	3	2	1	2	1	1
abroard	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abrogate	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
abrogation	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abrograte	1	1	1	1	1	1	1	1	1	3	5	3	1	1	1
abrolve	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
abrupt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
abruptle	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
absail	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2
abscent	1	1	1	1	1	1	1	1	1	5	4	4	1	1	1
abscess	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
abscond	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
abseil	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2
absence	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
absent	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
absentee	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1
absenteeism	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
absentia	1	1	1	1	1	1	1	1	1	5	1	1	1	1	3
absinthe	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
absobe	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1
absolute	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
absolutely	1	1	1	1	1	1	1	1	2	4	1	1	1	1	1
absolution	1	1	1	1	1	1	1	1	4	5	1	4	4	1	1
absolutto	1	1	1	1	1	1	1	1	1	1	5	1	1	5	1
absolve	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
absood	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
absorb	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
absord	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abstain	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1
abstaine	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
abstention	1	1	1	1	1	1	1	1	1	3	1	1	2	1	2
abstinence	1	1	1	1	1	1	1	1	1	1	1	1	5	5	1
abstinent	1	1	1	1	1	3	1	1	1	5	3	3	1	1	1
abstract	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
abstraction	1	1	1	1	1	1	1	1	1	3	1	1	5	1	1
abstrain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
abstreiter	1	1	1	1	1	1	1	1	1	5	5	1	1	1	1
absue	1	1	1	1	1	1	1	1	1	5	3	3	1	1	1
absurd	1	1	1	1	1	1	1	1	1	2	1	1	3	2	1
abt	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abtain	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abu	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1
abu-rafi	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abu-ragheb	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abubakar	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abuct	1	1	1	1	1	1	1	1	1	4	5	4	1	1	1
abudct	1	1	1	1	1	1	1	1	1	4	3	2	1	1	1
abuduct	1	1	1	1	1	1	1	1	1	5	3	3	1	1	1
abuja	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abulate	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abundant	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abuot	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aburizal	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abuse	1	1	1	1	1	1	1	1	1	4	2	2	1	1	1
abuser	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abusesad	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abusesd	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abuss	1	1	1	1	1	1	1	1	1	5	1	5	5	1	1
abut	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
abutt	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abuze	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
abvout	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
abvp	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abwe	1	1	1	1	1	1	1	1	1	5	1	5	5	1	1
abx	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abyot	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
abysmal	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
abyss	1	1	1	1	1	1	1	1	1	3	1	1	5	1	1
ac	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
acadamic	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
academia	1	1	5	1	1	1	1	1	1	5	1	1	1	1	1
academically	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
academician	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
academy	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
acadia	1	1	1	1	1	1	1	1	1	5	1	1	1	1	5
acadian	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
acapulco	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
acast	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
acc	1	1	1	1	1	1	1	1	2	2	1	1	2	1	3
accccordidng	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
acccept	1	1	1	1	1	1	1	1	2	3	1	1	2	1	1
acccompany	1	1	1	1	1	1	1	1	1	5	1	2	2	1	1
acccord	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
acccount	1	1	1	1	1	1	1	1	1	4	2	1	1	1	1
acccumulate	1	1	1	1	1	1	1	1	5	5	1	1	1	1	1
acccus	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
accdord	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
acce	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
accecelerate	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
accede	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
acceed	1	1	1	1	1	1	1	1	1	3	2	2	1	1	1
accelarate	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
accelerate	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
acceleration	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
accelerator	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
accelert	1	1	1	1	1	1	1	1	1	5	1	5	5	1	1
accend	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
accent	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
accentuate	1	1	1	1	1	1	1	1	1	3	2	2	1	1	1
accenture	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
accenuate	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
accepd	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
accepet	1	1	1	1	1	1	1	1	1	1	5	5	1	1	1
accept	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
acceptability	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
acceptable	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
