"docid"	"segmentid"	"verb"	"text"	"ANNOTATOR1"	"ANNOTATOR2"	"MERGED"
"brown_humor"	"21"	"look"	"She it was who had looked to see if I was wearing shoes upon learning that I couldn't drive ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"22"	"look"	"If you look through the keyhole , you will see an artistically landscaped garden with the white dome of St. Peter's framed in a long avenue of cropped laurel trees ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"23"	"look"	"Each form represented by the dictionary is looked up in the text-form list ."	"DYNAMIC"	"STATIVEHABITUAL"	"BOTH"
"brown_adventure"	"24"	"look"	"They were silent for a little while , each looking glum ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_hobbies"	"25"	"look"	"Monel shows improvement with each work-out and looks the makings of a good brood mare after winning her share of races ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_mystery"	"26"	"look"	"She was wearing a brown cotton dress , cut across the hips in a way that was supposed to make her look slimmer , a yoke set into the skirt and flaring pleats below ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_adventure"	"27"	"look"	"Reverend Jason , looking worried , hurried toward us ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_editorial"	"28"	"look"	"The trouble is that at first glance the idea looks like such a good one ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_belles_lettres"	"29"	"look"	"But in looking at Faulkner against his background in Mississippi and the South , it is important not to lose the broader perspective ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"30"	"look"	"You wonder if he looks at his wife now and thinks of you ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"31"	"look"	"She was looking out at the garden ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"32"	"look"	"The Anniston manager looked at Eddie Lee ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"33"	"look"	"Then he looked at his finger , at the wrinkled , heavy knuckle and the thick nail he used like a knife to pry up , slit , and open ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"34"	"look"	"Producer Fellini should have looked at some of the old silent films where they really had parties ! !"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"35"	"look"	"She sat down and played two slots at once , looking grim , as if bested by mechanical devices , and Owen felt sorry for the lay-sisters depending on her support ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_romance"	"36"	"look"	"And when they stood by the fountain in the piazza looking at Santa Maria he had to keep a straight face , not letting on he had been there with Alberto ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"37"	"look"	"He stepped into the dugout , wondering why Deegan was always looking for trouble ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_reviews"	"38"	"look"	"If this is true , then the universe today looks just as it did millions of years ago and as it will look millions of years hence , even though the universe is expanding ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_learned"	"39"	"look"	"Each dictionary form is looked up in the text-form list by the same method used to look up a new text occurrence in the form list during text reading ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"40"	"look"	"The dark brown bombs hanging under each wing looked large and powerful ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_belles_lettres"	"41"	"look"	"She looked up and saw that , without knowing it , Mrs. Coolidge was holding it aloft ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"42"	"look"	"He looked out over the expanse of the compound ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_editorial"	"43"	"look"	"He doesn't want her to look frowningly at him , or speak to him angrily ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"44"	"look"	"His flat and gracefully tapered head lifted as I looked at him and the black tongue slipped in and out of that solemn mouth ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"45"	"look"	"When he looked up again , he seemed almost contented ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"46"	"look"	"The latter looked backward upon inherited deficiencies ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"47"	"look"	"George did wonderful complicated pen-and-ink drawings like something out of a medieval miniature : hundreds of delicate details crammed into an eight-by-ten sheet and looking as if they had been done under a jeweler's glass ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_fiction"	"48"	"look"	"I looked away ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"49"	"look"	"He does not know whether to look up or look aside , to put his hands in his pockets or to clench them at his side , to cross the street , or to continue on the same side ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"50"	"look"	"A second reported that the dilapidated houses in Virginia `` look like the latter end of original sin and hard times '' ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_adventure"	"51"	"look"	"He looked at the looming hoods of the supply wagons , struck by a new inspiration ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"52"	"look"	"But it could also be looked at from the other end of the spectrum ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"53"	"look"	"Taking a personal interest , she had the doctor assigned to the White House , Dr. James Coupal , look Emmett over ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_reviews"	"54"	"look"	"`` I like to sniff a place , and reproduce what it really smells and looks like , its color , its particular kind of life '' ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_hobbies"	"55"	"look"	"We want to know when the Potlatches telephone exactly how many they are planning to bring , so that we won't end up with a splashing mob that looks like Coney Island in August ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_lore"	"56"	"look"	"`` We '' were Bill Garrett of the National Geographic Illustrations Staff , whose three cameras and eight lenses made him look as formidable as any fighting man we met ; ;"	"STATIVE"	"STATIVE"	"STATIVE"
"brown_mystery"	"57"	"look"	"About halfway through the second bottle , Charlie looked at me across Pops , who was sitting between us and asked `` Now '' ? ?"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"58"	"look"	"I swallowed hard and looked down at my feet plodding along beside Rachel ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"59"	"look"	"She looked good , with her short tousled hair and no make-up ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_romance"	"60"	"look"	"He looked up at me , puzzled , and he swayed his head from side to side ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"61"	"look"	"The lieutenant's sparse brown hair was heavily pomaded , and as Killpath raked the comb through it , it stuck together in thatches so that it looked like umbrella ribs clinging to his pink skull ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_adventure"	"62"	"look"	"I looked ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"63"	"look"	"Such proposals look to an apocalyptic act , a kind of Lockian `` social contract '' on a world-wide scale ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"64"	"look"	"`` Of course it looked like an accident ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_learned"	"65"	"look"	"In short , both his own declarations and his figural blindness , when he looked at objects , seem to present undeniable evidence that he had simply no visual memory at all ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"66"	"look"	"Now , she just sat there looking at him , without an expression except concern for him ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_religion"	"67"	"look"	"The return of the Catholic hierarchy in 1850 was looked upon with indignant disapprobation and , in fact , was charged with being a gesture of disloyalty ."	"STATIVE"	"DYNAMIC"	"BOTH"
"brown_romance"	"68"	"look"	"`` You won't , if you're looking for a redhead ."	"DYNAMIC"	"BOTH"	"BOTH"
"brown_lore"	"69"	"look"	"Chandler , looking to right and left to see how his men were faring , suddenly saw another figure bounding up the hill , hurling grenades and hollering the battle cry as he ran ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"70"	"look"	"He is going sound again now , and looks good ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_mystery"	"71"	"look"	"His father looked him over closely ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_science_fiction"	"72"	"look"	"Helva `` looked '' up and caught a fascinating panorama of regular , dirty craters on a flaky pink surface ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"73"	"look"	"Some general things to look for in a site , if you haven't already bought one , are accessibility , water drainage , and orientation ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"74"	"look"	"Jim turned back from the stairway and looked at her ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"75"	"look"	"He didn't look back and he ran until he was out of sight of the schoolhouse and out of breath ; ;"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_government"	"76"	"look"	"Although the impact of these increases on our industry's shipments will be gradual , on balance I look for another good increase in shipments in the coming year , to at least $6 billion ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"77"	"look"	"Feeling his power , Freddy looked for additional worlds to conquer ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"78"	"look"	"Land looked back toward the dilapidated house ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"79"	"look"	"Watson hardly looked at him ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"80"	"look"	"I can look at furniture in one spot year in and year out and really feel for sure that's where it belongs ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_reviews"	"81"	"look"	"That's not precisely the way Larkin urges them to look at it , though ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_government"	"82"	"look"	"Any approach toward such a system looks toward saving and security ."	"STATIVE"	"DYNAMIC"	"BOTH"
"brown_mystery"	"83"	"look"	"Now '' -- He looked around ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_humor"	"84"	"look"	"Mr. Gorboduc looked down ."	"BOTH"	"DYNAMIC"	"BOTH"
"brown_adventure"	"85"	"look"	"Hernandez looked suddenly uncertain ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_hobbies"	"86"	"look"	"Be sure the head drops backward so that the child looks at the floor rather than toward the ceiling ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"87"	"look"	"He spent that afternoon on the beach , looking for a pale , browny-haired girl in a pink bathing suit ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_mystery"	"88"	"look"	"I put in new batteries so as to be certain I'd have plenty of power and on my way out walked over to the regular parking stalls and stood looking at them thoughtfully ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"89"	"look"	"I came back , sitting by my locker , feeling real low , and the kid walks over to me , looks up , and says : ' You stunk ' '' ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"90"	"look"	"Our respective families looked as if they had quadrupled ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_fiction"	"91"	"look"	"Offer her a cup of tea and she would say , `` Why , these cups look just like a set I gave to the Salvation Army last year '' ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_romance"	"92"	"look"	"Not good looking , but self-confident and wise so that it made her attractive ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_mystery"	"93"	"look"	"`` It sure as hell doesn't look like it , does it ? ?"	"STATIVE"	"STATIVE"	"STATIVE"
"brown_lore"	"94"	"look"	"Soon after the method changed , visitors began asking how he managed to irrigate his soil to keep it looking moist , when in reality , it was the soil treatment alone that accomplished this ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_adventure"	"95"	"look"	"With this realization , sometimes , he saw himself as he looked down ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"96"	"look"	"The girl looked around quickly at several of the people ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_science_fiction"	"97"	"look"	"Mercer thought that she looked very distinguished and charming ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_belles_lettres"	"98"	"look"	"If we look at recent art we find it preoccupied with form ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"99"	"look"	"She didn't look over thirteen ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_belles_lettres"	"100"	"look"	"And though we can look back now and see their errors , we can look back also to the ultimate error ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"101"	"look"	"We had looked forward to what we hoped to be our first informal meeting with a number of Moscow's artists ."	"STATIVE"	"DYNAMIC"	"BOTH"
"brown_romance"	"102"	"look"	"But I had looked forward so much to being with this church group ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_adventure"	"103"	"look"	"They reined in there , Brannon remaining in the saddle while Hogan went to look for Jesse Macklin in the hotel dining room ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"104"	"look"	"Fred Rankin looked at him ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"105"	"look"	"Jimmy Jordon is high on Adios Scarlet ( Adios-Rena Grattan ) and she sure looks good as she goes by ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_belles_lettres"	"106"	"look"	"I never had the courage to look at them , when my projected volume became hopeless , fearing they were poor , until now when I was obliged to do so ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"107"	"look"	"She said , `` I guess the Lord looks out for fools , drunkards , and innocents '' ."	"DYNAMIC"	"STATIVEHABITUAL"	"BOTH"
"brown_belles_lettres"	"108"	"look"	"Mrs. Coolidge looked down , saw Mama's horrified expression and quickly let the whole thing fall to the floor ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_humor"	"109"	"look"	"The moonlit night was made for romance , and he had been looking at her soulfully for some time ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"110"	"look"	"He turned , then , to look toward the lighted Boulevard , and saw Rourke's tall , emaciated figure come out of the lounge and hurriedly start to angle across the street toward the opposite side ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"111"	"look"	"She looked well-fed and prosperous , but he didn't get the impression he was being propositioned the way he'd been hoping ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_adventure"	"112"	"look"	"Waddell had looked the man over , trying to size him up ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"113"	"look"	"In the middle of the party Chandler looked up to see four smiling faces bearing down upon him , each beaming above the biggest , greenest shamrock he had ever seen ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"114"	"look"	"Then he stood back to look at Mr. Jack , who was pulling on his pigskin gloves ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"115"	"look"	"She looked around ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"116"	"look"	"`` You mean you dragged your wife all over hell's half-acre looking for work '' ? ?"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"117"	"look"	"There was swimming over at the Riverside Hotel , but his skin was so white he looked like the bottom of a frog ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_lore"	"118"	"look"	"Malocclusion , or a bad fit , is what parents need to look out for ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_government"	"119"	"look"	"With colleges and universities carrying a large part of the program , and with students looking toward Peace Corps service , there will be an impact on educational curriculum and student seriousness ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_adventure"	"120"	"look"	"She had reached a point at which she didn't even care how she looked ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_hobbies"	"121"	"look"	"Most park planners look to water frontage for basic park areas ."	"DYNAMIC"	"STATIVEHABITUAL"	"BOTH"
"brown_news"	"122"	"look"	"To an extent , the two even look alike ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_mystery"	"123"	"look"	"At the door she turned back , her Roman nose looking very long now and satiric ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_adventure"	"124"	"look"	"As he looked up from picking at a leg ulcer , he saw a marine in the jungle across the clearing ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"125"	"look"	"It began to look as if something was going to happen ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_adventure"	"126"	"look"	"He did not look around ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"127"	"look"	"I had also thought a lot about how God must look on true love , and so in a way I was keeping my promise to God , my promise to remain pure until I was married ."	"STATIVE"	"DYNAMIC"	"BOTH"
"brown_fiction"	"128"	"look"	"Mark stopped the car and switched off the lights and they sat looking at the water , which , there being no moon out , at first could be distinguished from the sky only by an absence of stars ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"129"	"look"	"`` Come on , Inspector , look alive ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_fiction"	"130"	"look"	"She felt the look and looked back because she could not help it , seeing that he was neither as old nor as thick as she had at first believed ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"131"	"look"	"You're not only young but well , you don't even look like a police officer ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_learned"	"132"	"look"	"This is simply a confession of intellectual sterility spruced up to look virtuous ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_romance"	"133"	"look"	"Speaking in a low voice of loathing she went up to the girl , who stood with the same upright , scornful bearing and did not even look at the knife ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"134"	"look"	"He looked up and down the street ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"135"	"look"	"They look after their fields and children and water buffaloes in ten or eleven thousand villages , with an average of 200 souls ."	"DYNAMIC"	"STATIVEHABITUAL"	"BOTH"
"brown_romance"	"136"	"look"	"But now she looked ugly ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_mystery"	"137"	"look"	"At the gate he slowed , looking around ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"138"	"look"	"They look as if they had been sculptured with an unsharpened chisel ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_fiction"	"139"	"hold"	"Bobby Joe had been sitting close to her , touching her actually , and holding her hand from time to time , but it seemed at once that Howard sat much closer ."	"DYNAMIC"	"BOTH"	"BOTH"
"brown_editorial"	"140"	"hold"	"Several conventions have been held in recent months in hotels on a nonsegregated basis ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"141"	"hold"	"Those who have never traveled the width and length of this land cannot conceive , on the basis of textbook description alone , the overwhelming space and variety of this country held together under one government ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_fiction"	"142"	"hold"	"For a moment she held her face to the empty doorway ; ;"	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_lore"	"143"	"hold"	"Rammin' one horn of a downed steer into the ground to hold 'im down was called `` peggin' '' ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_government"	"144"	"hold"	"Section 6(j) of the Act , as we have held , does require the Department's recommendation to be placed in a registrant's file ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_editorial"	"145"	"hold"	"I know a man who held resentment against a neighbor for more than three decades ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_humor"	"146"	"hold"	"`` No divinity will hold still for that ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_editorial"	"147"	"hold"	"This `` holds '' the local until the express passengers change trains ."	"DYNAMIC"	"CONTEXT"	"BOTH"
"brown_adventure"	"148"	"hold"	"`` Just hold it that way '' ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_learned"	"149"	"hold"	"Each adult is held personally responsible for assuring his inscription and obtaining an identification card which must be shown on demand ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_romance"	"150"	"hold"	"He saw the suitcase , which Julia was holding ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_religion"	"151"	"hold"	"Even if the atom were big enough to hold a football field , this nucleus is still only about the size of a pinhead ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_government"	"152"	"hold"	"At the outset , the Government's spokesman explained that counsel for the Government and for Du Pont had already held preliminary discussions with a view to arriving at a relief plan that both sides could recommend to the court ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_science_fiction"	"153"	"hold"	"The glorious news had been held up pending Heavenly confirmation of the elevation of a new Supreme Bishop , Huey Short -- a candidate accepted by the Boone faction after lots had been cast repeatedly ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_lore"	"154"	"hold"	"Before coming on a visit to Spelman in 1885 , Miss Mary had been a successful teacher in Worcester , and her position there was held open for her for a considerable period ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"155"	"hold"	"Report others held"	"CONTEXT"	"CONTEXT"	"CONTEXT"
"brown_learned"	"156"	"hold"	"This instrument provides an electrical signal proportional to the angular deviations of the platform and can be used to automatically hold the platform on true heading ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_reviews"	"157"	"hold"	"He supports the steady-state theory which holds that matter is continually being created in space ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_news"	"158"	"hold"	"The court held that the tax applied to non-profit sales because the corporations realized economic benefits by doing business as two separate entities ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_editorial"	"159"	"hold"	"Connally amendment's repeal held step toward world order"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_government"	"160"	"hold"	"Chapel services are held weekly ."	"DYNAMIC"	"STATIVEHABITUAL"	"BOTH"
"brown_belles_lettres"	"161"	"hold"	"Moineau and David held nothing but their fingers ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_fiction"	"162"	"hold"	"and though he had found the strength to run with us , now he collapsed and lay on the ground , dying , the Reverend holding his head and wiping his hot brow ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_belles_lettres"	"163"	"hold"	"Can't hold her pure little han' ! !"	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_hobbies"	"164"	"hold"	"I tested it in my scoped S & W and it was good enough to allow me to hit a chuck with every shot at 100 yards if I did my part by holding the handgun steadily ."	"DYNAMIC"	"BOTH"	"BOTH"
"brown_belles_lettres"	"165"	"hold"	"But that is too simple , and won't hold up ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_romance"	"166"	"hold"	"They came out and held their games and races ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"167"	"hold"	") Vernon , however , held out for plain oyster roast , and plenty of it , unadorned by herbs or any seasoning but salt , though he did fancy a bit of lemon ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_romance"	"168"	"hold"	"He held his long clenched foot in both hands , and this and his contorted face -- he was trying heroically not to cry out -- made him look like a large skinny old monkey ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_lore"	"169"	"hold"	"This conclusion is dependent on the assumption that traditional sex mores will continue to sanction both premarital chastity as the `` ideal '' , and the double standard holding females primarily responsible for preserving the ideal ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_mystery"	"170"	"hold"	"For a split second , Nick relaxed his grip and Poet's slippery body spun completely around before Nick could stop him , holding him now from the rear ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_science_fiction"	"171"	"hold"	"`` Here , this will help '' , suggested Helva , substituting a magnifying device in one extension and holding it over the picture ."	"DYNAMIC"	"BOTH"	"BOTH"
"brown_lore"	"172"	"hold"	"Once the soldiers from the barracks had to hold the ship from blowing away while Fogg revved the engine and got the tail up ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_mystery"	"173"	"hold"	"When you hold the spirit of a thing , then somehow you know the truth -- you know a fake antique from the real thing ."	"DYNAMIC"	"BOTH"	"BOTH"
"brown_reviews"	"174"	"hold"	"Rhythmic interest , melodic beauty and the expansiveness of the writing are all qualities which hold one's attention with the Gilels playing ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_fiction"	"175"	"hold"	"He then draped him over the rough stand , explained that he was supposed to be recently dead , and was being held on his mother's lap ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_romance"	"176"	"hold"	"Everyone held his or her breath ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
